#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
129 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
139 0.00 0.00 0.00
142 0.00 0.00 0.00
143 0.00 0.00 0.00
144 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
152 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
157 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
160 0.00 0.00 0.00
162 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
165 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
170 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
175 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
180 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
185 0.00 0.00 0.00
188 0.00 0.00 0.00
189 0.00 0.00 0.00
190 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
195 0.00 0.00 0.00
198 0.00 0.00 0.00
199 0.00 0.00 0.00
200 0.00 0.00 0.00
203 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
363 0.00 0.00 0.00
364 0.00 0.00 0.00
367 0.00 0.00 0.00
369 0.00 0.00 0.00
372 0.00 0.00 0.00
373 0.00 0.00 0.00
374 0.00 0.00 0.00
378 0.00 0.00 0.00
383 0.00 0.00 0.00
388 0.00 0.00 0.00
398 0.00 0.00 0.00
533 0.00 0.00 0.00
534 0.00 0.00 0.00
537 0.00 0.00 0.00
538 0.00 0.00 0.00
539 0.00 0.00 0.00
540 0.00 0.00 0.00
541 0.00 0.00 0.00
542 0.00 0.00 0.00
543 0.00 0.00 0.00
544 0.00 0.00 0.00
546 0.00 0.00 0.00
550 0.00 0.00 0.00
553 0.00 0.00 0.00
558 0.00 0.00 0.00
563 0.00 0.00 0.00
567 0.00 0.00 0.00
568 0.00 0.00 0.00
573 0.00 0.00 0.00
578 0.00 0.00 0.00
583 0.00 0.00 0.00
588 0.00 0.00 0.00
598 0.00 0.00 0.00
603 0.00 0.00 0.00
608 0.00 0.00 0.00
701 0.00 0.00 0.00
702 0.00 0.00 0.00
706 0.00 0.00 0.00
707 0.00 0.00 0.00
709 0.00 0.00 0.00
710 0.00 0.00 0.00
711 0.00 0.00 0.00
712 0.00 0.00 0.00
714 0.00 0.00 0.00
715 0.00 0.00 0.00
718 0.00 0.00 0.00
719 0.00 0.00 0.00
720 0.00 0.00 0.00
721 0.00 0.00 0.00
722 0.00 0.00 0.00
724 0.00 0.00 0.00
725 0.00 0.00 0.00
726 0.00 0.00 0.00
727 0.00 0.00 0.00
728 0.00 0.00 0.00
729 0.00 0.00 0.00
730 0.00 0.00 0.00
731 0.00 0.00 0.00
732 0.00 0.00 0.00
733 0.00 0.00 0.00
736 0.00 0.00 0.00
737 0.00 0.00 0.00
740 0.00 0.00 0.00
741 0.00 0.00 0.00
742 0.00 0.00 0.00
745 0.00 0.00 0.00
747 0.00 0.00 0.00
750 0.00 0.00 0.00
752 0.00 0.00 0.00
755 0.00 0.00 0.00
756 0.00 0.00 0.00
766 0.00 0.00 0.00
767 0.00 0.00 0.00
772 0.00 0.00 0.00
792 0.00 0.00 0.00
794 0.00 0.00 0.00
808 0.00 0.00 0.00
809 0.00 0.00 0.00
818 0.00 0.00 0.00
819 0.00 0.00 0.00
823 0.00 0.00 0.00
828 0.00 0.00 0.00
833 0.00 0.00 0.00
845 0.00 0.00 0.00
855 0.00 0.00 0.00
860 0.00 0.00 0.00
864 0.00 0.00 0.00
869 0.00 0.00 0.00
874 0.00 0.00 0.00
885 0.00 0.00 0.00
890 0.00 0.00 0.00
895 0.00 0.00 0.00
900 0.00 0.00 0.00
903 0.00 0.00 0.00
905 0.00 0.00 0.00
906 0.00 0.00 0.00
911 0.00 0.00 0.00
914 0.00 0.00 0.00
915 0.00 0.00 0.00
916 0.00 0.00 0.00
919 0.00 0.00 0.00
921 0.00 0.00 0.00
924 0.00 0.00 0.00
926 0.00 0.00 0.00
931 0.00 0.00 0.00
936 0.00 0.00 0.00
941 0.00 0.00 0.00
946 0.00 0.00 0.00
947 0.00 0.00 0.00
952 0.00 0.00 0.00
956 0.00 0.00 0.00
957 0.00 0.00 0.00
961 0.00 0.00 0.00
962 0.00 0.00 0.00
967 0.00 0.00 0.00
972 0.00 0.00 0.00
977 0.00 0.00 0.00
978 0.00 0.00 0.00
982 0.00 0.00 0.00
983 0.00 0.00 0.00
985 0.00 0.00 0.00
987 0.00 0.00 0.00
988 0.00 0.00 0.00
992 0.00 0.00 0.00
997 0.00 0.00 0.00
1001 0.00 0.00 0.00
1012 0.00 0.00 0.00
1021 0.00 0.00 0.00
1023 0.00 0.00 0.00
1041 0.00 0.00 0.00
1046 0.00 0.00 0.00
1049 0.00 0.00 0.00
1052 0.00 0.00 0.00
1054 0.00 0.00 0.00
1062 0.00 0.00 0.00
1063 0.00 0.00 0.00
1067 0.00 0.00 0.00
1077 0.00 0.00 0.00
1081 0.00 0.00 0.00
1083 0.00 0.00 0.00
1086 0.00 0.00 0.00
1088 0.00 0.00 0.00
1091 0.00 0.00 0.00
1093 0.00 0.00 0.00
1096 0.00 0.00 0.00
1098 0.00 0.00 0.00
1101 0.00 0.00 0.00
1103 0.00 0.00 0.00
1108 0.00 0.00 0.00
1116 0.00 0.00 0.00
1120 0.00 0.00 0.00
1123 0.00 0.00 0.00
1125 0.00 0.00 0.00
1130 0.00 0.00 0.00
1132 0.00 0.00 0.00
1133 0.00 0.00 0.00
1135 0.00 0.00 0.00
1137 0.00 0.00 0.00
1140 0.00 0.00 0.00
1142 0.00 0.00 0.00
1145 0.00 0.00 0.00
1147 0.00 0.00 0.00
1148 0.00 0.00 0.00
1150 0.00 0.00 0.00
1153 0.00 0.00 0.00
1155 0.00 0.00 0.00
1156 0.00 0.00 0.00
1158 0.00 0.00 0.00
1162 0.00 0.00 0.00
1163 0.00 0.00 0.00
1165 0.00 0.00 0.00
1166 0.00 0.00 0.00
1168 0.00 0.00 0.00
1170 0.00 0.00 0.00
1173 0.00 0.00 0.00
1174 0.00 0.00 0.00
1175 0.00 0.00 0.00
1176 0.00 0.00 0.00
1178 0.00 0.00 0.00
1179 0.00 0.00 0.00
1180 0.00 0.00 0.00
1184 0.00 0.00 0.00
1185 0.00 0.00 0.00
1188 0.00 0.00 0.00
1190 0.00 0.00 0.00
1194 0.00 0.00 0.00
1195 0.00 0.00 0.00
1196 0.00 0.00 0.00
1199 0.00 0.00 0.00
1209 0.00 0.00 0.00
1215 0.00 0.00 0.00
1218 0.00 0.00 0.00
1219 0.00 0.00 0.00
1220 0.00 0.00 0.00
1230 0.00 0.00 0.00
1235 0.00 0.00 0.00
1250 0.00 0.00 0.00
1252 0.00 0.00 0.00
1255 0.00 0.00 0.00
1292 0.00 0.00 0.00
1295 0.00 0.00 0.00
1297 0.00 0.00 0.00
1298 0.00 0.00 0.00
1300 0.00 0.00 0.00
1302 0.00 0.00 0.00
1306 0.00 0.00 0.00
1311 0.00 0.00 0.00
1315 0.00 0.00 0.00
1316 0.00 0.00 0.00
1320 0.00 0.00 0.00
1321 0.00 0.00 0.00
1322 0.00 0.00 0.00
1326 0.00 0.00 0.00
1327 0.00 0.00 0.00
1331 0.00 0.00 0.00
1332 0.00 0.00 0.00
1336 0.00 0.00 0.00
1341 0.00 0.00 0.00
1342 0.00 0.00 0.00
1347 0.00 0.00 0.00
1349 0.00 0.00 0.00
1352 0.00 0.00 0.00
1354 0.00 0.00 0.00
1358 0.00 0.00 0.00
1363 0.00 0.00 0.00
1373 0.00 0.00 0.00
1378 0.00 0.00 0.00
1379 0.00 0.00 0.00
1383 0.00 0.00 0.00
1384 0.00 0.00 0.00
1386 0.00 0.00 0.00
1388 0.00 0.00 0.00
1389 0.00 0.00 0.00
1391 0.00 0.00 0.00
1393 0.00 0.00 0.00
1394 0.00 0.00 0.00
1397 0.00 0.00 0.00
1398 0.00 0.00 0.00
1399 0.00 0.00 0.00
1404 0.00 0.00 0.00
1409 0.00 0.00 0.00
1412 0.00 0.00 0.00
1414 0.00 0.00 0.00
1415 0.00 0.00 0.00
1417 0.00 0.00 0.00
1419 0.00 0.00 0.00
1422 0.00 0.00 0.00
1424 0.00 0.00 0.00
1433 0.00 0.00 0.00
1437 0.00 0.00 0.00
1438 0.00 0.00 0.00
1443 0.00 0.00 0.00
1444 0.00 0.00 0.00
1448 0.00 0.00 0.00
1460 0.00 0.00 0.00
1464 0.00 0.00 0.00
1469 0.00 0.00 0.00
1474 0.00 0.00 0.00
1479 0.00 0.00 0.00
1480 0.00 0.00 0.00
1484 0.00 0.00 0.00
1488 0.00 0.00 0.00
1489 0.00 0.00 0.00
1494 0.00 0.00 0.00
1499 0.00 0.00 0.00
1510 0.00 0.00 0.00
1511 0.00 0.00 0.00
1515 0.00 0.00 0.00
1520 0.00 0.00 0.00
1527 0.00 0.00 0.00
1530 0.01 -0.01 0.04
1535 0.02 -0.02 0.06
1537 0.10 -0.09 0.29
1540 0.10 -0.09 0.29
1542 0.10 -0.09 0.29
1552 0.10 -0.09 0.29
1557 0.10 -0.09 0.29
1561 0.10 -0.09 0.29
1562 0.10 -0.09 0.29
1572 0.10 -0.09 0.29
1576 0.10 -0.09 0.29
1577 0.10 -0.09 0.29
1582 0.10 -0.09 0.29
1586 0.10 -0.09 0.29
1588 0.10 -0.09 0.29
1592 0.10 -0.09 0.29
1593 0.10 -0.09 0.29
1597 0.10 -0.09 0.29
1608 0.10 -0.09 0.29
1613 0.10 -0.09 0.29
1618 0.10 -0.09 0.29
1633 0.10 -0.09 0.29
1654 0.10 -0.09 0.29
1660 0.10 -0.09 0.29
1665 0.10 -0.09 0.29
1667 0.10 -0.09 0.29
1670 0.10 -0.09 0.29
1675 0.10 -0.09 0.29
1678 0.10 -0.09 0.29
1680 0.10 -0.09 0.29
1683 0.10 -0.09 0.29
1685 0.10 -0.09 0.29
1688 0.10 -0.09 0.29
1690 0.10 -0.09 0.29
1693 0.10 -0.09 0.29
1695 0.10 -0.09 0.29
1699 0.10 -0.09 0.29
1700 0.10 -0.09 0.29
1704 0.10 -0.09 0.29
1705 0.10 -0.09 0.29
1709 0.10 -0.09 0.29
1710 0.10 -0.09 0.29
1728 0.10 -0.09 0.29
1730 0.10 -0.09 0.29
1733 0.10 -0.09 0.29
1739 0.10 -0.09 0.29
1744 0.10 -0.09 0.29
1754 0.10 -0.09 0.29
1766 0.10 -0.09 0.29
1770 0.10 -0.09 0.29
1787 0.10 -0.09 0.29
1793 0.10 -0.09 0.29
1802 0.10 -0.09 0.29
1803 0.10 -0.09 0.29
1807 0.10 -0.09 0.29
1808 0.10 -0.09 0.29
1812 0.10 -0.09 0.29
1817 0.10 -0.09 0.29
1818 0.10 -0.09 0.29
1823 0.10 -0.09 0.29
1824 0.10 -0.09 0.29
1826 0.10 -0.09 0.29
1828 0.10 -0.09 0.29
1833 0.10 -0.09 0.29
1836 0.10 -0.09 0.29
1844 0.10 -0.09 0.29
1849 0.10 -0.09 0.29
1853 0.10 -0.09 0.29
1854 0.10 -0.09 0.29
1858 0.10 -0.09 0.29
1859 0.10 -0.09 0.29
1869 0.30 -0.10 0.70
1878 0.30 -0.10 0.70
1889 0.30 -0.10 0.70
1899 0.30 -0.10 0.70
1915 0.30 -0.10 0.70
1920 0.30 -0.10 0.70
1926 0.30 -0.10 0.70
1931 0.30 -0.10 0.70
1936 0.30 -0.10 0.70
1941 0.30 -0.10 0.70
1944 0.30 -0.10 0.70
1945 0.30 -0.10 0.70
1946 0.30 -0.10 0.70
1951 0.30 -0.10 0.70
1954 0.30 -0.10 0.70
1955 0.30 -0.10 0.70
1956 0.30 -0.10 0.70
1959 0.30 -0.10 0.70
1961 0.30 -0.10 0.70
1962 0.30 -0.10 0.70
1965 0.30 -0.10 0.70
1966 0.30 -0.10 0.70
1970 0.30 -0.10 0.70
1971 0.30 -0.10 0.70
1972 0.30 -0.10 0.70
1974 0.30 -0.10 0.70
1976 0.30 -0.10 0.70
1977 0.30 -0.10 0.70
1980 0.30 -0.10 0.70
1981 0.30 -0.10 0.70
1984 0.30 -0.10 0.70
1986 0.30 -0.10 0.70
1987 0.30 -0.10 0.70
1992 0.30 -0.10 0.70
1994 0.30 -0.10 0.70
2002 0.30 -0.10 0.70
2003 0.30 -0.10 0.70
2006 0.30 -0.10 0.70
2008 0.30 -0.10 0.70
2013 0.30 -0.10 0.70
2015 0.30 -0.10 0.70
2017 0.30 -0.10 0.70
2018 0.30 -0.10 0.70
2023 0.30 -0.10 0.70
2027 0.30 -0.10 0.70
2029 0.30 -0.10 0.70
2033 0.30 -0.10 0.70
2034 0.30 -0.10 0.70
2038 0.30 -0.10 0.70
2039 0.30 -0.10 0.70
2043 0.30 -0.10 0.70
2044 0.30 -0.10 0.70
2048 0.30 -0.10 0.70
2053 0.30 -0.10 0.70
2059 0.30 -0.10 0.70
2064 0.30 -0.10 0.70
2069 0.30 -0.10 0.70
2078 0.30 -0.10 0.70
2079 0.30 -0.10 0.70
2082 0.30 -0.10 0.70
2083 0.30 -0.10 0.70
2087 0.30 -0.10 0.70
2094 0.30 -0.10 0.70
2099 0.30 -0.10 0.70
2100 0.30 -0.10 0.70
2107 0.30 -0.10 0.70
2109 0.30 -0.10 0.70
2114 0.30 -0.10 0.70
2119 0.30 -0.10 0.70
2120 0.30 -0.10 0.70
2122 0.30 -0.10 0.70
2129 0.30 -0.10 0.70
2145 0.30 -0.10 0.70
2151 0.30 -0.10 0.70
2154 0.30 -0.10 0.70
2159 0.30 -0.10 0.70
2161 0.30 -0.10 0.70
2166 0.30 -0.10 0.70
2169 0.30 -0.10 0.70
2175 0.30 -0.10 0.70
2180 0.30 -0.10 0.70
2181 0.30 -0.10 0.70
2196 0.30 -0.10 0.70
2197 0.30 -0.10 0.70
2199 0.30 -0.10 0.70
2201 0.30 -0.10 0.70
2204 0.30 -0.10 0.70
2205 0.30 -0.10 0.70
2209 0.30 -0.10 0.70
2210 0.30 -0.10 0.70
2211 0.30 -0.10 0.70
2215 0.30 -0.10 0.70
2220 0.30 -0.10 0.70
2221 0.30 -0.10 0.70
2222 0.30 -0.10 0.70
2225 0.30 -0.10 0.70
2230 0.30 -0.10 0.70
2235 0.30 -0.10 0.70
2241 0.30 -0.10 0.70
2246 0.30 -0.10 0.70
2247 0.30 -0.10 0.70
2248 0.30 -0.10 0.70
2250 0.30 -0.10 0.70
2255 0.30 -0.10 0.70
2262 0.30 -0.10 0.70
2263 0.30 -0.10 0.70
2267 0.30 -0.10 0.70
2272 0.30 -0.10 0.70
2277 0.30 -0.10 0.70
2282 0.30 -0.10 0.70
2287 0.30 -0.10 0.70
2291 0.30 -0.10 0.70
2292 0.30 -0.10 0.70
2297 0.30 -0.10 0.70
2301 0.30 -0.10 0.70
2306 0.30 -0.10 0.70
2312 0.30 -0.10 0.70
